Cell_ID,Cell_Center_X,Cell_Center_Y,pS6235_Nuc_Mean,pS6235_Nuc_Std,pS6235_Nuc_Median,pS6235_Nuc_Max,pS6235_Cell_Mean,pS6235_Cell_Std,pS6235_Cell_Median,pS6235_Cell_Max,DAPI_Nuc_Mean,DAPI_Nuc_Std,DAPI_Nuc_Median,DAPI_Nuc_Max,DAPI_Cell_Mean,DAPI_Cell_Std,DAPI_Cell_Median,DAPI_Cell_Max,pERK_Nuc_Mean,pERK_Nuc_Std,pERK_Nuc_Median,pERK_Nuc_Max,pERK_Cell_Mean,pERK_Cell_Std,pERK_Cell_Median,pERK_Cell_Max,S6_Nuc_Mean,S6_Nuc_Std,S6_Nuc_Median,S6_Nuc_Max,S6_Cell_Mean,S6_Cell_Std,S6_Cell_Median,S6_Cell_Max,p4EBP1_Nuc_Mean,p4EBP1_Nuc_Std,p4EBP1_Nuc_Median,p4EBP1_Nuc_Max,p4EBP1_Cell_Mean,p4EBP1_Cell_Std,p4EBP1_Cell_Median,p4EBP1_Cell_Max,NaKATPase_Nuc_Mean,NaKATPase_Nuc_Std,NaKATPase_Nuc_Median,NaKATPase_Nuc_Max,NaKATPase_Cell_Mean,NaKATPase_Cell_Std,NaKATPase_Cell_Median,NaKATPase_Cell_Max,E_cad_Nuc_Mean,E_cad_Nuc_Std,E_cad_Nuc_Median,E_cad_Nuc_Max,E_cad_Cell_Mean,E_cad_Cell_Std,E_cad_Cell_Median,E_cad_Cell_Max
1.0,1710.0453,1273.5245,285.16672,114.69649,262.0,785.0,0.0,0.0,0.0,0.0,1599.6721,523.53723,1580.0,3070.0,0.0,0.0,0.0,0.0,239.30583,150.32889,225.0,903.0,0.0,0.0,0.0,0.0,1519.5985,345.8336,1469.0,2751.0,0.0,0.0,0.0,0.0,255.02687,62.69819,254.0,461.0,0.0,0.0,0.0,0.0,1226.8842,659.1467,1146.0,4663.0,0.0,0.0,0.0,0.0,1184.0139,878.3157,977.0,5750.0,0.0,0.0,0.0,0.0
2.0,1721.0,1281.884,237.30212,95.73292,218.5,914.0,282.26086,128.87416,249.0,727.0,2548.2188,478.60553,2586.5,3804.0,917.971,318.03674,884.0,1580.0,229.33751,140.99205,222.0,827.0,250.95169,165.42911,242.0,764.0,1109.2656,352.7713,1012.0,2974.0,1472.5363,316.77002,1396.0,2335.0,475.55545,562.3506,287.0,6005.0,259.4058,65.63396,257.0,465.0,1637.2305,1168.9315,1350.5,9888.0,1190.657,583.9037,1081.0,4134.0,988.74664,758.2182,765.5,5281.0,976.3865,652.41626,895.0,3217.0
3.0,1272.8341,614.1024,478.9445,293.4674,394.0,2461.0,305.49756,121.948875,288.0,779.0,2408.5547,625.8899,2361.5,4089.0,1706.8098,533.0517,1741.0,2982.0,340.62045,175.33269,333.0,1084.0,229.62439,159.98216,225.0,695.0,2167.69,551.4075,2016.5,4547.0,1525.6146,511.11954,1410.0,3135.0,441.04498,132.81552,427.0,1005.0,359.47318,207.04668,317.0,1422.0,1473.2417,904.4935,1265.5,6792.0,2533.6682,1814.263,1986.0,10000.0,1212.1794,955.7779,913.5,7778.0,1658.3268,1138.7723,1363.0,5730.0
4.0,898.86035,1305.2513,364.6156,246.72397,306.0,2400.0,399.24582,176.38383,362.0,1002.0,2047.4075,502.95343,2105.0,3169.0,1428.3575,440.13043,1451.0,2414.0,246.04149,139.47656,238.0,722.0,274.8771,158.55301,248.0,713.0,1466.6829,438.35098,1344.0,3177.0,2055.324,340.74207,1994.0,3157.0,407.63663,121.73594,395.0,799.0,309.9609,83.92843,296.0,688.0,1496.059,1002.18677,1260.0,7433.0,1582.5642,607.1186,1591.0,4112.0,1256.5127,981.5659,950.5,5295.0,1020.9832,666.6934,953.0,5459.0
5.0,1521.2413,909.7069,272.0787,137.27963,231.0,908.0,406.9569,259.40625,369.0,2227.0,1425.613,328.96912,1389.0,2642.0,1275.6853,403.44226,1318.0,2661.0,287.59183,253.72884,222.0,1504.0,284.90518,174.55498,264.5,828.0,1667.9711,244.94044,1631.0,2690.0,1640.6552,539.2094,1618.0,2920.0,249.41145,166.0163,205.0,1153.0,396.72415,96.74309,378.0,682.0,1406.096,969.4765,1187.5,6410.0,1912.4268,1354.4364,1564.0,7426.0,942.5364,621.8162,782.0,4343.0,1476.1768,1069.9437,1245.5,4716.0
6.0,796.5687,1751.5813,235.11417,88.543045,224.0,701.0,296.85626,154.61989,258.0,1007.0,1353.1973,418.6986,1383.0,2482.0,1209.5813,262.79373,1206.0,1793.0,205.49774,131.17294,191.0,769.0,341.6875,226.12422,343.5,1221.0,978.05676,346.88022,945.0,2412.0,1855.5437,294.55234,1861.0,2660.0,239.5826,69.14901,238.0,512.0,233.3375,91.13691,216.5,600.0,1348.254,828.16907,1201.0,4412.0,1630.5875,967.62494,1521.0,6249.0,938.35455,634.55115,801.0,3352.0,1173.4688,622.4354,1055.5,3437.0
7.0,1888.4894,945.9489,332.1577,131.85963,309.0,969.0,262.57022,155.76233,204.0,712.0,1811.0822,512.2715,1784.5,3442.0,847.11914,367.94965,871.0,1677.0,251.0675,172.91577,237.0,1240.0,231.41277,171.11339,188.0,897.0,1771.2236,315.6625,1742.5,3286.0,1062.166,521.45337,930.0,2638.0,275.68393,98.40125,259.0,660.0,215.8766,85.37316,210.0,435.0,1276.4945,790.2281,1164.5,5788.0,1262.8,964.69055,1073.0,4468.0,1025.0841,823.4854,789.0,5408.0,1018.91064,774.2244,843.0,3794.0
8.0,1573.6382,1293.1508,260.14328,125.777214,235.0,1188.0,436.33667,161.34816,401.0,1370.0,1732.1942,401.80997,1741.5,2834.0,926.1809,462.9107,889.0,2376.0,234.78206,168.051,218.0,1025.0,272.1809,184.43176,264.0,847.0,1767.7135,289.82953,1713.0,2939.0,2046.1356,484.01578,2036.0,3298.0,348.74615,69.767876,349.0,611.0,272.00504,96.04786,254.0,577.0,1155.2179,983.16016,861.0,5881.0,1829.7789,964.8407,1756.0,5873.0,707.93945,623.641,505.5,3473.0,1302.1005,1094.8788,1178.0,5446.0
9.0,1468.1072,1636.5153,162.22496,47.874653,158.0,574.0,418.52042,213.38908,375.0,1269.0,2262.1226,389.48752,2276.0,3487.0,1154.8062,310.4414,1178.5,1791.0,173.14651,102.31022,172.0,530.0,352.57654,211.44339,373.0,864.0,1564.2675,293.62634,1487.0,3349.0,2200.1633,451.86417,2175.0,3180.0,201.77602,66.185646,192.0,464.0,354.66327,76.566025,364.0,524.0,1608.8817,1056.3911,1314.0,5938.0,1565.0613,1196.5374,1278.0,5401.0,953.89465,768.2756,707.0,6064.0,1002.40814,740.12067,796.5,3061.0
10.0,977.32745,854.69025,278.32803,112.712204,254.0,757.0,184.70354,60.22352,173.5,468.0,1291.8866,280.89563,1292.0,2031.0,1720.6018,378.41583,1729.5,2991.0,217.55234,139.93839,212.0,906.0,185.57965,117.262375,172.0,667.0,1670.0208,347.34665,1614.0,2772.0,1801.2478,427.6254,1667.0,3173.0,242.8524,65.30464,243.0,484.0,218.24336,67.424416,211.0,430.0,1028.1638,677.3544,858.5,3929.0,2032.8097,1450.3971,1663.0,6279.0,836.45123,667.78406,638.5,4587.0,1120.2212,899.83307,854.5,5596.0
