Slide_ID	Position_ID	Cell_ID	Cell_Center_X	Cell_Center_Y	Cell_Area	Marker_States
NA	NA	1.0	1710.0453	1273.5245	443	10101010101020
NA	NA	2.0	1721.0	1281.884	443	00201100112011
NA	NA	3.0	1272.8341	614.1024	443	21222120221222
NA	NA	4.0	898.86035	1305.2513	443	12222112211121
NA	NA	5.0	1521.2413	909.7069	443	12111111121112
NA	NA	6.0	796.5687	1751.5813	443	11111201101111
NA	NA	7.0	1888.4894	945.9489	443	10102020101010
NA	NA	8.0	1573.6382	1293.1508	443	12101122211112
NA	NA	9.0	1468.1072	1636.5153	443	02210212021010
NA	NA	10.0	977.32745	854.69025	443	10121011101111
NA	NA	11.0	1698.2528	1548.0449	443	21202221212021
NA	NA	12.0	469.77713	1427.2628	443	12221212122220
NA	NA	13.0	715.2064	847.76605	443	01121001112221
NA	NA	14.0	1038.1975	393.31848	443	00210110101222
NA	NA	15.0	748.35486	967.22046	443	00120001012121
NA	NA	16.0	564.8057	724.4628	443	10001000101120
NA	NA	17.0	1964.3977	1148.4152	443	00100020101011
NA	NA	18.0	840.2518	1150.3741	443	10111022101112
NA	NA	19.0	880.55975	1697.3207	443	02001212111112
NA	NA	20.0	1502.2809	1859.7697	443	10201101111020
NA	NA	21.0	1666.691	791.5854	443	11222210111112
NA	NA	22.0	769.56964	780.60126	443	11212001202120
NA	NA	23.0	1334.2988	700.2683	443	12122210122121
NA	NA	24.0	1752.75	1761.5781	443	02210211121112
NA	NA	25.0	827.7217	809.59796	443	00221011101011
NA	NA	26.0	880.7853	667.12885	443	00120011101212
NA	NA	27.0	683.6789	1647.945	443	00211122122212
NA	NA	28.0	1018.3681	928.02454	443	10222102212221
NA	NA	29.0	1601.2264	636.5032	443	11212110211211
NA	NA	30.0	512.8585	1460.4529	443	21212220222110
NA	NA	31.0	726.1927	1480.1284	443	22111202021222
NA	NA	32.0	767.131	567.5417	443	02210010101121
NA	NA	33.0	663.4844	919.3828	443	20122020202010
NA	NA	34.0	781.7607	1502.5214	443	02000212122211
NA	NA	35.0	1586.8588	2003.9353	443	10201011102020
NA	NA	36.0	1076.4902	688.9739	443	00120011111111
NA	NA	37.0	1058.7279	1783.8038	443	11001112011212
NA	NA	38.0	1185.5496	1878.168	443	12201102201111
NA	NA	39.0	1059.3822	781.12103	443	10021210222020
NA	NA	40.0	1532.9021	2002.8951	443	21202201212222
NA	NA	41.0	341.17218	1397.3708	443	10201020200000
NA	NA	42.0	1203.4551	1220.1556	443	22212122221110
NA	NA	43.0	1272.0	1257.0952	443	12221102121211
NA	NA	44.0	1824.19	950.0	443	10222010212122
NA	NA	45.0	1484.3864	1099.0227	443	22212202222222
NA	NA	46.0	1502.3896	615.5809	443	11121220112021
NA	NA	47.0	1153.1517	1829.4822	443	01211202102222
NA	NA	48.0	1271.3226	461.63226	443	10222010211111
NA	NA	49.0	570.5548	1484.1226	443	01110111121110
NA	NA	50.0	791.7182	1901.4182	443	10112011011011
NA	NA	51.0	1642.2743	1643.0708	443	02201101202020
NA	NA	52.0	1198.7478	536.97296	443	10222201122222
NA	NA	53.0	1651.2703	698.9099	443	01210110102211
NA	NA	54.0	793.15173	874.469	443	20222021201020
NA	NA	55.0	1592.9357	1109.3857	443	12221221222021
NA	NA	56.0	1081.478	1111.6593	443	00221122111121
NA	NA	57.0	855.7246	1030.674	443	00201022201111
NA	NA	58.0	1185.225	1162.8917	443	11111122122111
NA	NA	59.0	1138.8	1672.2897	443	12211202112011
NA	NA	60.0	798.1938	621.1395	443	12111020202221
NA	NA	61.0	1124.2333	1768.05	443	12111222122212
NA	NA	62.0	867.6	1472.1058	443	21112222211110
NA	NA	63.0	1051.1691	1408.3662	443	22202102222221
NA	NA	64.0	1575.8182	570.06995	443	21222120212122
NA	NA	65.0	1385.6755	1275.351	443	02020102121011
NA	NA	66.0	1912.3241	1198.3611	443	10101120212122
NA	NA	67.0	819.95874	1569.9381	443	11112112211211
NA	NA	68.0	659.05646	1835.3468	443	01110222121012
NA	NA	69.0	1239.5809	1442.5905	443	11111012221112
NA	NA	70.0	1634.6554	1412.4392	443	21202001212020
NA	NA	71.0	1364.2086	417.58273	443	12112210111222
NA	NA	72.0	1725.5215	1618.8785	443	20201020202020
NA	NA	73.0	900.9554	1436.1161	443	12211222221121
NA	NA	74.0	1370.9857	984.4429	443	20121121222022
NA	NA	75.0	918.0721	1601.0631	443	22202112211121
NA	NA	76.0	1664.238	1038.9445	443	02221211222011
NA	NA	77.0	1277.8679	829.98114	443	10221000122120
NA	NA	78.0	1146.4412	674.2647	443	21222210201212
NA	NA	79.0	989.3333	687.44165	443	12111011111210
NA	NA	80.0	1653.9117	1726.9608	443	11211221201012
NA	NA	81.0	1355.6511	1227.845	443	12112222121110
NA	NA	82.0	1604.5135	1554.4955	443	12102202012122
NA	NA	83.0	1113.464	386.928	443	22101220201212
NA	NA	84.0	1598.5968	1455.5403	443	22201122222021
NA	NA	85.0	484.14655	814.11206	443	22212000122222
NA	NA	86.0	1400.3544	659.77167	443	12222220212221
NA	NA	87.0	1262.3412	1016.28235	443	11212112222222
NA	NA	88.0	1818.3667	1235.7333	443	11111221120102
NA	NA	89.0	1454.2522	1419.3739	443	11201122201010
NA	NA	90.0	1345.6638	1134.8707	443	11212212221110
NA	NA	91.0	596.36975	1647.1681	443	21212201222021
NA	NA	92.0	1008.0909	548.6	443	02120110121211
NA	NA	93.0	600.8264	1594.6364	443	10212021211110
NA	NA	94.0	1472.3019	1289.934	443	12212102222121
NA	NA	95.0	1205.0763	483.38983	443	21122220221222
NA	NA	96.0	1597.0957	1714.7128	443	01110211111011
NA	NA	97.0	682.30695	1714.0594	443	10111021101010
NA	NA	98.0	1519.1119	1456.9254	443	11202112212120
NA	NA	99.0	1551.304	1184.832	443	10021221211021
NA	NA	100.0	1079.598	1945.1177	443	11101212122112
NA	NA	101.0	550.53174	1768.4207	443	11201111211020
NA	NA	102.0	1514.3949	1260.7899	443	01111111021112
NA	NA	103.0	696.2233	1756.6893	443	00211121102021
NA	NA	104.0	1097.916	1008.38934	443	00210112101222
NA	NA	105.0	625.71027	955.4112	443	10222011201021
NA	NA	106.0	1451.194	964.1269	443	20121121221011
NA	NA	107.0	1485.5546	1371.3278	443	02201112202120
NA	NA	108.0	1176.3918	1020.7568	443	20222122212221
NA	NA	109.0	1423.4814	1301.4938	443	02211012121212
NA	NA	110.0	1318.2446	1010.383	443	21222201211111
NA	NA	111.0	1255.9539	546.4231	443	11222200212020
NA	NA	112.0	1190.3097	432.55753	443	02211211220212
NA	NA	113.0	1281.1825	1138.2222	443	11222111211010
NA	NA	114.0	589.4545	1535.4142	443	02221002021110
NA	NA	115.0	1057.3661	529.4554	443	20122100201212
NA	NA	116.0	1192.6986	392.49316	443	22202200122222
NA	NA	117.0	1469.4517	663.50806	443	12221210212222
NA	NA	118.0	911.72174	770.5565	443	10222001111121
NA	NA	119.0	1658.7273	743.0364	443	11222110212111
NA	NA	120.0	1142.4407	744.88135	443	11222222221211
NA	NA	121.0	677.67523	1177.6837	443	10212111212020
NA	NA	122.0	1185.5361	742.29895	443	21122212122212
NA	NA	123.0	838.8785	1658.6636	443	21212001112020
NA	NA	124.0	1404.1057	563.2789	443	22111120110212
NA	NA	125.0	1600.5245	1603.7458	443	22101122102020
NA	NA	126.0	822.28973	1620.6074	443	11201101202121
NA	NA	127.0	1284.9479	680.3542	443	10222020211120
NA	NA	128.0	1547.7826	1761.174	443	11222102111012
NA	NA	129.0	1048.57	588.0323	443	01120101000202
NA	NA	130.0	1849.5614	1150.6725	443	00100010101010
NA	NA	131.0	650.5686	1563.3007	443	20110101012221
NA	NA	132.0	734.6949	524.0085	443	02202000002222
NA	NA	133.0	1094.8103	433.3362	443	11221200102222
NA	NA	134.0	1200.7264	634.6321	443	21222200112221
NA	NA	135.0	1404.3805	518.48914	443	02111220111212
NA	NA	136.0	1489.874	1798.5186	443	00111102110011
NA	NA	137.0	1783.2435	1270.4869	443	00201010211010
NA	NA	138.0	1162.5923	1064.903	443	20122002012221
NA	NA	139.0	804.50616	708.6049	443	12101120101110
NA	NA	140.0	1118.3793	1716.3219	443	22102002102222
NA	NA	141.0	1626.4653	586.9604	443	22211220212122
NA	NA	142.0	1103.1177	1484.2255	443	02110012021111
NA	NA	143.0	818.85565	1815.9794	443	10010001000001
NA	NA	144.0	1828.4274	1685.0887	443	12102010200010
NA	NA	145.0	1555.5568	1804.2954	443	21102201111010
NA	NA	146.0	1775.0099	987.0792	443	21202120212121
NA	NA	147.0	675.8182	1518.6364	443	12212222212222
NA	NA	148.0	1197.2314	1493.2479	443	11212212221112
NA	NA	149.0	1396.0886	1048.3925	443	21222221221000
NA	NA	150.0	1039.3877	1333.0	443	12111112221110
NA	NA	151.0	977.9677	1722.828	443	12101102111111
NA	NA	152.0	1640.784	929.3182	443	11202000112011
NA	NA	153.0	1201.8354	590.1772	443	11221211212212
NA	NA	154.0	1208.4928	899.4786	443	21222211222220
NA	NA	155.0	1070.079	633.1579	443	02020212020202
NA	NA	156.0	1395.4537	1816.8889	443	10101000101010
NA	NA	157.0	1776.9386	920.0789	443	01211110212010
NA	NA	158.0	945.2895	799.2281	443	10121112122222
NA	NA	159.0	1783.5294	1813.6824	443	11101111112122
NA	NA	160.0	812.0106	1694.6277	443	11212211202110
NA	NA	161.0	1109.258	751.5161	443	01220212122222
NA	NA	162.0	902.2261	867.26086	443	21020021111212
NA	NA	163.0	1058.4579	1590.243	443	22002002100211
NA	NA	164.0	1714.1091	674.91815	443	12201210212011
NA	NA	165.0	1083.2545	919.62726	443	00210021222221
NA	NA	166.0	1025.3334	1026.762	443	10212001110211
